orig.method,recoded.method,experiment,coder,trial,look.recoded,look.orig,gap,agree
xhab,datavyu,Exp.3,BP,1,31.02,33.5,-2.48,1
xhab,datavyu,Exp.3,BP,5,2.871,3.4,-0.529,1
xhab,datavyu,Exp.3,BP,6,5.115,5.5,-0.385,1
xhab,datavyu,Exp.3,BP,2,6.27,6.6,-0.33,1
xhab,datavyu,Exp.3,BP,3,15.378,15,0.378,1
xhab,datavyu,Exp.3,BP,4,22.143,18.9,3.243,1
xhab,datavyu,Exp.3,NG,6,10.923,12,-1.077,1
xhab,datavyu,Exp.3,NG,1,27.225,28.1,-0.875,1
xhab,datavyu,Exp.3,NG,3,14.718,15,-0.282,1
xhab,datavyu,Exp.3,NG,4,23.595,23.6,-0.005,1
xhab,datavyu,Exp.3,NG,2,45,45,0,1
xhab,datavyu,Exp.3,NG,5,10.89,5.8,5.09,0
xhab,datavyu,Exp.3,BP,3,4.917,5.7,-0.783,1
xhab,datavyu,Exp.3,BP,1,9.504,10.1,-0.596,1
xhab,datavyu,Exp.3,BP,5,18.612,18.5,0.112,1
xhab,datavyu,Exp.3,BP,6,5.511,5.3,0.211,1
xhab,datavyu,Exp.3,BP,4,12.837,12.1,0.737,1
xhab,datavyu,Exp.3,BP,2,45,41.9,3.1,1
xhab,datavyu,Exp.3,BP,5,5.709,8.1,-2.391,1
xhab,datavyu,Exp.3,BP,4,7.491,8.3,-0.809,1
xhab,datavyu,Exp.3,BP,3,3.234,3.7,-0.466,1
xhab,datavyu,Exp.3,BP,1,18.117,17.4,0.717,1
xhab,datavyu,Exp.3,BP,6,14.685,12.8,1.885,1
xhab,datavyu,Exp.3,BP,2,11.022,6.9,4.122,1
xhab,datavyu,Exp.3,NG,1,6.6,9,-2.4,1
xhab,datavyu,Exp.3,NG,3,6.171,7.1,-0.929,1
xhab,datavyu,Exp.3,NG,6,6.732,7.2,-0.468,1
xhab,datavyu,Exp.3,NG,2,13.398,13.7,-0.302,1
xhab,datavyu,Exp.3,NG,4,15.213,15,0.213,0
xhab,datavyu,Exp.3,NG,5,22.737,22.4,0.337,1
xhab,datavyu,Exp.3,BP,5,4.752,5.3,-0.548,1
xhab,datavyu,Exp.3,BP,3,2.409,2.9,-0.491,1
xhab,datavyu,Exp.3,BP,6,2.046,2.3,-0.254,1
xhab,datavyu,Exp.3,BP,2,6.27,6.5,-0.23,1
xhab,datavyu,Exp.3,BP,4,2.112,2.3,-0.188,1
xhab,datavyu,Exp.3,BP,1,7.095,6.8,0.295,1
xhab,datavyu,Exp.3,DE,6,7.887,8.9,-1.013,1
xhab,datavyu,Exp.3,DE,4,45,45,0,1
xhab,datavyu,Exp.3,DE,3,33.495,33.4,0.095,1
xhab,datavyu,Exp.3,DE,2,24.387,23.8,0.587,1
xhab,datavyu,Exp.3,DE,1,15.51,14.8,0.71,1
xhab,datavyu,Exp.3,DE,5,28.38,26,2.38,1
xhab,datavyu,Exp.3,NG,2,6.534,7,-0.466,1
xhab,datavyu,Exp.3,NG,6,6.336,6.8,-0.464,1
xhab,datavyu,Exp.3,NG,1,7.491,7.9,-0.409,0
xhab,datavyu,Exp.3,NG,5,11.88,12.2,-0.32,1
xhab,datavyu,Exp.3,NG,3,45,45,0,1
xhab,datavyu,Exp.3,NG,4,10.032,9.6,0.432,1
xhab,datavyu,Exp.3,DE,6,4.323,5.9,-1.577,1
xhab,datavyu,Exp.3,DE,4,3.828,4.5,-0.672,1
xhab,datavyu,Exp.3,DE,1,23.199,23.7,-0.501,1
xhab,datavyu,Exp.3,DE,3,6.996,7.4,-0.404,1
xhab,datavyu,Exp.3,DE,5,9.339,7.4,1.939,1
xhab,datavyu,Exp.3,DE,2,32.571,26.7,5.871,0
xhab,datavyu,Exp.3,BP,2,2.739,3.1,-0.361,1
xhab,datavyu,Exp.3,BP,4,2.937,3.2,-0.263,1
xhab,datavyu,Exp.3,BP,1,7.26,6.5,0.76,1
xhab,datavyu,Exp.3,BP,3,3.234,2.2,1.034,0
xhab,datavyu,Exp.3,BP,6,4.257,2.9,1.357,0
xhab,datavyu,Exp.3,BP,5,21.483,13.4,8.083,0
xhab,datavyu,Exp.3,DE,6,5.709,11.1,-5.391,0
xhab,datavyu,Exp.3,DE,3,6.402,7.2,-0.798,1
xhab,datavyu,Exp.3,DE,5,7.128,7.9,-0.772,1
xhab,datavyu,Exp.3,DE,1,15.765,16.2,-0.435,1
xhab,datavyu,Exp.3,DE,4,10.494,8.7,1.794,1
xhab,datavyu,Exp.3,DE,2,15.411,12.3,3.111,1
xhab,datavyu,Exp.3,NG,6,4.587,7.7,-3.113,1
xhab,datavyu,Exp.3,NG,2,4.191,5.1,-0.909,1
xhab,datavyu,Exp.3,NG,4,3.861,4.7,-0.839,1
xhab,datavyu,Exp.3,NG,3,10.197,10.5,-0.303,1
xhab,datavyu,Exp.3,NG,5,4.356,4.5,-0.144,1
xhab,datavyu,Exp.3,NG,1,9.075,7.7,1.375,0
xhab,datavyu,Exp.3,NG,4,20.196,20.9,-0.704,1
xhab,datavyu,Exp.3,NG,1,8.943,8.7,0.243,1
xhab,datavyu,Exp.3,NG,6,3.663,3.1,0.563,1
xhab,datavyu,Exp.3,NG,2,43.164,37.9,5.264,0
xhab,datavyu,Exp.3,NG,3,45,39.6,5.4,0
xhab,datavyu,Exp.3,NG,5,45,39.4,5.6,0
xhab,datavyu,Exp.3,BP,6,2.145,2,0.145,1
xhab,datavyu,Exp.3,BP,1,2.871,2.2,0.671,1
xhab,datavyu,Exp.3,BP,5,3.267,2.3,0.967,1
xhab,datavyu,Exp.3,BP,2,2.871,1.2,1.671,1
xhab,datavyu,Exp.3,BP,4,4.719,2.1,2.619,0
xhab,datavyu,Exp.3,BP,3,5.016,2.2,2.816,0
xhab,datavyu,Exp.3,DE,3,11.979,30.2,-18.221,0
xhab,datavyu,Exp.3,DE,1,4.422,15.7,-11.278,0
xhab,datavyu,Exp.3,DE,4,5.379,7.9,-2.521,1
xhab,datavyu,Exp.3,DE,2,9.405,11.1,-1.695,1
xhab,datavyu,Exp.3,DE,6,4.488,5.3,-0.812,1
xhab,datavyu,Exp.3,DE,5,19.899,20.1,-0.201,1
xhab,datavyu,Exp.3,DE,1,4.884,5.3,-0.416,1
xhab,datavyu,Exp.3,DE,5,4.092,4.5,-0.408,1
xhab,datavyu,Exp.3,DE,2,2.211,2.6,-0.389,1
xhab,datavyu,Exp.3,DE,4,2.079,2.4,-0.321,1
xhab,datavyu,Exp.3,DE,6,4.488,4.6,-0.112,1
xhab,datavyu,Exp.3,DE,3,4.983,5,-0.017,1
xhab,datavyu,Exp.3,BP,1,9.603,11.6,-1.997,1
xhab,datavyu,Exp.3,BP,3,1.551,2.9,-1.349,1
xhab,datavyu,Exp.3,BP,2,6.567,7.3,-0.733,1
xhab,datavyu,Exp.3,BP,6,3.63,4.3,-0.67,1
xhab,datavyu,Exp.3,BP,5,7.062,7.4,-0.338,1
xhab,datavyu,Exp.3,BP,4,3.63,3.5,0.13,1
xhab,datavyu,Exp.3,NG,3,5.247,7.5,-2.253,1
xhab,datavyu,Exp.3,NG,6,14.19,15.3,-1.11,1
xhab,datavyu,Exp.3,NG,1,2.343,3.3,-0.957,1
xhab,datavyu,Exp.3,NG,5,2.013,2.6,-0.587,1
xhab,datavyu,Exp.3,NG,2,2.739,3.2,-0.461,0
xhab,datavyu,Exp.3,NG,4,4.983,4.2,0.783,1
xhab,datavyu,Exp.3,DE,4,5.709,7.1,-1.391,1
xhab,datavyu,Exp.3,DE,3,3.102,3.8,-0.698,1
xhab,datavyu,Exp.3,DE,1,2.145,2.7,-0.555,1
xhab,datavyu,Exp.3,DE,2,3.399,3.8,-0.401,1
xhab,datavyu,Exp.3,DE,5,8.481,8.2,0.281,1
xhab,datavyu,Exp.3,DE,6,7.062,6.5,0.562,1
xhab,datavyu,Exp.3,BP,6,18.315,18.7,-0.385,1
xhab,datavyu,Exp.3,BP,4,11.352,11.5,-0.148,1
xhab,datavyu,Exp.3,BP,5,15.312,15.3,0.012,1
xhab,datavyu,Exp.3,BP,1,7.887,7.8,0.087,1
xhab,datavyu,Exp.3,BP,3,9.669,8.7,0.969,1
xhab,datavyu,Exp.3,BP,2,12.111,11,1.111,1
xhab,datavyu,Exp.4,NG,4,9.603,10.4,-0.797,1
xhab,datavyu,Exp.4,NG,2,3.399,3.9,-0.501,1
xhab,datavyu,Exp.4,NG,6,13.266,13.7,-0.434,1
xhab,datavyu,Exp.4,NG,1,13.299,13.6,-0.301,1
xhab,datavyu,Exp.4,NG,5,5.808,6.1,-0.292,1
xhab,datavyu,Exp.4,NG,3,14.223,12.3,1.923,1
xhab,datavyu,Exp.4,BP,5,7.458,8.2,-0.742,1
xhab,datavyu,Exp.4,BP,1,2.145,2.8,-0.655,1
xhab,datavyu,Exp.4,BP,2,4.62,5.2,-0.58,1
xhab,datavyu,Exp.4,BP,3,2.805,3.2,-0.395,1
xhab,datavyu,Exp.4,BP,4,5.412,5.6,-0.188,1
xhab,datavyu,Exp.4,BP,6,7.095,7.1,-0.005,1
xhab,datavyu,Exp.4,DE,2,5.874,11.4,-5.526,0
xhab,datavyu,Exp.4,DE,1,13.2,15.4,-2.2,1
xhab,datavyu,Exp.4,DE,4,17.754,18.5,-0.746,1
xhab,datavyu,Exp.4,DE,5,2.937,3.2,-0.263,1
xhab,datavyu,Exp.4,DE,6,9.438,9.7,-0.262,1
xhab,datavyu,Exp.4,DE,3,9.372,8.1,1.272,1
xhab,datavyu,Exp.4,DE,6,6.567,7.1,-0.533,1
xhab,datavyu,Exp.4,DE,1,4.917,5.3,-0.383,1
xhab,datavyu,Exp.4,DE,2,6.798,6.5,0.298,1
xhab,datavyu,Exp.4,DE,3,21.2,19.3,1.9,1
xhab,datavyu,Exp.4,DE,4,22.242,19.9,2.342,1
xhab,datavyu,Exp.4,DE,5,41.712,34.4,7.312,1
xhab,datavyu,Exp.4,BP,6,7.59,8.2,-0.61,1
xhab,datavyu,Exp.4,BP,2,5.577,6,-0.423,1
xhab,datavyu,Exp.4,BP,3,3.036,2.9,0.136,1
xhab,datavyu,Exp.4,BP,4,5.907,5.7,0.207,1
xhab,datavyu,Exp.4,BP,5,6.369,6,0.369,1
xhab,datavyu,Exp.4,BP,1,3.366,2.9,0.466,0
xhab,datavyu,Exp.4,DE,4,5.94,7.4,-1.46,1
xhab,datavyu,Exp.4,DE,5,2.409,3.4,-0.991,1
xhab,datavyu,Exp.4,DE,3,2.805,3.6,-0.795,1
xhab,datavyu,Exp.4,DE,2,4.323,4.9,-0.577,1
xhab,datavyu,Exp.4,DE,1,3.003,3.5,-0.497,1
xhab,datavyu,Exp.4,DE,6,5.313,5.8,-0.487,1
xhab,datavyu,Exp.4,BP,1,24.585,24.6,-0.015,1
xhab,datavyu,Exp.4,BP,6,9.9,9.1,0.8,1
xhab,datavyu,Exp.4,BP,4,7.326,6.5,0.826,1
xhab,datavyu,Exp.4,BP,5,9.207,7.7,1.507,1
xhab,datavyu,Exp.4,BP,3,6.996,4.6,2.396,0
xhab,datavyu,Exp.4,BP,2,16.863,13,3.863,0
xhab,datavyu,Exp.4,NG,6,7.953,12.9,-4.947,1
xhab,datavyu,Exp.4,NG,5,2.673,3.3,-0.627,1
xhab,datavyu,Exp.4,NG,4,5.346,5.7,-0.354,1
xhab,datavyu,Exp.4,NG,3,7.26,7.1,0.16,1
xhab,datavyu,Exp.4,NG,2,12.276,11.8,0.476,1
xhab,datavyu,Exp.4,NG,1,6.567,6,0.567,1
xhab,datavyu,Exp.4,NG,5,7.062,8,-0.938,1
xhab,datavyu,Exp.4,NG,1,6.006,6.6,-0.594,1
xhab,datavyu,Exp.4,NG,2,3.894,4.3,-0.406,1
xhab,datavyu,Exp.4,NG,3,24.123,24.4,-0.277,1
xhab,datavyu,Exp.4,NG,4,12.804,12,0.804,1
xhab,datavyu,Exp.4,NG,6,8.217,7,1.217,1
xhab,datavyu,Exp.4,DE,3,0.198,5.6,-5.402,0
xhab,datavyu,Exp.4,DE,2,2.871,3.8,-0.929,1
xhab,datavyu,Exp.4,DE,5,5.082,5.7,-0.618,1
xhab,datavyu,Exp.4,DE,6,6.171,6.7,-0.529,1
xhab,datavyu,Exp.4,DE,1,5.544,6,-0.456,1
xhab,datavyu,Exp.4,DE,4,0.66,0.6,0.06,1
datavyu,datavyu,Exp.5,NG,6,6.369,7.227,-0.858,1
datavyu,datavyu,Exp.5,NG,2,18.084,16.929,1.155,1
datavyu,datavyu,Exp.5,NG,1,12.243,10.395,1.848,1
datavyu,datavyu,Exp.5,NG,5,21.45,19.173,2.277,1
datavyu,datavyu,Exp.5,NG,4,8.085,5.61,2.475,1
datavyu,datavyu,Exp.5,NG,3,14.091,6.765,7.326,0
datavyu,datavyu,Exp.5,DE,1,1.551,1.815,-0.264,1
datavyu,datavyu,Exp.5,DE,4,12.969,13.101,-0.132,1
datavyu,datavyu,Exp.5,DE,2,7.359,7.26,0.099,1
datavyu,datavyu,Exp.5,DE,6,10.23,9.438,0.792,1
datavyu,datavyu,Exp.5,DE,3,10.626,NA,NA,1
datavyu,datavyu,Exp.5,DE,5,2.508,NA,NA,1
datavyu,datavyu,Exp.5,BP,6,3.003,2.871,0.132,1
datavyu,datavyu,Exp.5,BP,2,2.739,2.541,0.198,1
datavyu,datavyu,Exp.5,BP,1,6.6,6.369,0.231,1
datavyu,datavyu,Exp.5,BP,4,1.98,1.749,0.231,1
datavyu,datavyu,Exp.5,BP,5,5.445,4.851,0.594,1
datavyu,datavyu,Exp.5,BP,3,5.247,4.587,0.66,1
datavyu,datavyu,Exp.5,BP,4,38.874,42.009,-3.135,0
datavyu,datavyu,Exp.5,BP,1,17.061,17.919,-0.858,1
datavyu,datavyu,Exp.5,BP,2,45,45,0,1
datavyu,datavyu,Exp.5,BP,3,16.566,16.401,0.165,1
datavyu,datavyu,Exp.5,BP,6,26.332,25.41,0.922,1
datavyu,datavyu,Exp.5,BP,5,25.146,22.506,2.64,1
datavyu,datavyu,Exp.5,DE,1,10.362,11.451,-1.089,1
datavyu,datavyu,Exp.5,DE,3,6.93,7.062,-0.132,1
datavyu,datavyu,Exp.5,DE,4,6.633,6.435,0.198,1
datavyu,datavyu,Exp.5,DE,6,9.339,9.141,0.198,1
datavyu,datavyu,Exp.5,DE,5,14.883,14.19,0.693,1
datavyu,datavyu,Exp.5,DE,2,10.296,4.521,5.775,0
datavyu,datavyu,Exp.5,BP,5,4.059,6.699,-2.64,1
datavyu,datavyu,Exp.5,BP,6,2.937,4.653,-1.716,1
datavyu,datavyu,Exp.5,BP,1,3.003,2.805,0.198,1
datavyu,datavyu,Exp.5,BP,2,2.64,2.409,0.231,1
datavyu,datavyu,Exp.5,BP,3,7.392,6.963,0.429,1
datavyu,datavyu,Exp.5,BP,4,5.478,4.125,1.353,1
datavyu,datavyu,Exp.5,DE,1,20.328,20.46,-0.132,1
datavyu,datavyu,Exp.5,DE,6,6.864,6.854,0.01,1
datavyu,datavyu,Exp.5,DE,2,5.808,5.643,0.165,1
datavyu,datavyu,Exp.5,DE,3,5.709,5.511,0.198,1
datavyu,datavyu,Exp.5,DE,5,11.847,11.649,0.198,1
datavyu,datavyu,Exp.5,DE,4,6.963,5.775,1.188,1
datavyu,datavyu,Exp.5,DE,3,24.915,25.377,-0.462,1
datavyu,datavyu,Exp.5,DE,4,8.085,8.514,-0.429,1
datavyu,datavyu,Exp.5,DE,2,9.273,9.636,-0.363,1
datavyu,datavyu,Exp.5,DE,5,45,45,0,1
datavyu,datavyu,Exp.5,DE,6,8.877,8.679,0.198,1
datavyu,datavyu,Exp.5,DE,1,6.171,5.94,0.231,1
datavyu,datavyu,Exp.5,DE,1,11.682,13.563,-1.881,1
